college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
New Mexico State University,"Las Cruces, NM",4-year,Public,Large,Suburban,51%,$10K,885-1110
University Of Illinois Springfield,"Springfield, IL",4-year,Public,Small,Suburban,54%,$12K,1010-1220
Commonwealth University Of Pennsylvania Lock Haven,"Lock Haven, PA",4-year,Public,Large,Rural,54%,$16K,1000-1190
Utah State University,"Logan, UT",4-year,Public,Very Large,Rural,53%,$15K,1070-1300
Greenville University,"Greenville, IL",4-year,Private,Small,Rural,58%,$21K,850-1100
University of Colorado Colorado Springs,"Colorado Springs, CO",4-year,Public,Medium,Urban,43%,$15K,1030-1230
Commonwealth University Of Pennsylvania,"Bloomsburg, PA",4-year,Public,Large,Rural,54%,$17K,980-1090
University of Toledo,"Toledo, OH",4-year,Public,Large,Suburban,57%,$18K,1000-1270
Western Carolina University,"Cullowhee, NC",4-year,Public,Large,Rural,61%,$13K,1050-1230
Hiram College,"Hiram, OH",4-year,Private,Small,Rural,53%,$19K,830-1030
Georgia Southern University,"Statesboro, GA",4-year,Public,Very Large,Rural,54%,$15K,980-1150
University of Central Arkansas,"Conway, AR",4-year,Public,Medium,Suburban,50%,$15K,920-1140
West Texas A&M University,"Canyon, TX",4-year,Public,Medium,Suburban,45%,$17K,960-1160
University of Texas at Tyler,"Tyler, TX",4-year,Public,Medium,Urban,44%,$13K,1020-1210
University of Kentucky,"Lexington, KY",4-year,Public,Very Large,Urban,69%,$19K,1080-1280
Sul Ross State University,"Alpine, TX",4-year,Public,Small,Rural,26%,$13K,930-1100
University Of Illinois Chicago,"Chicago, IL",4-year,Public,Very Large,Urban,62%,$10K,1070-1300
Western Colorado University,"Gunnison, CO",4-year,Public,Small,Rural,47%,$17K,1000-1230
University of Houston-Clear Lake,"Houston, TX",4-year,Public,Medium,Suburban,54%,$18K,980-1150
University of Virginia's College at Wise,"Wise, VA",4-year,Public,Small,Rural,45%,$10K,940-1185
Carroll College,"Helena, MT",4-year,Private,Small,Suburban,70%,$24K,550-650
Lamar University,"Beaumont, TX",4-year,Public,Medium,Urban,38%,$12K,910-1120
Kent State University: Geauga,"Burton, OH",4-year,Public,Small,Rural,Unknown,$10K,Unknown
California State Polytechnic University Humboldt,"Arcata, CA",4-year,Public,Medium,Rural,46%,$14K,1010-1260
University of Wisconsin-Milwaukee,"Milwaukee, WI",4-year,Public,Very Large,Urban,48%,$17K,990-1180
Stockton University,"Galloway, NJ",4-year,Public,Medium,Suburban,76%,$19K,1040-1220
Radford University,"Radford, VA",4-year,Public,Medium,Rural,54%,$17K,930-1170
University of South Carolina: Upstate,"Spartanburg, SC",4-year,Public,Medium,Suburban,43%,$14K,950-1150
Missouri State University,"Springfield, MO",4-year,Public,Large,Suburban,58%,$18K,1003-1210
Illinois Central College,"East Peoria, IL",2-year,Public,Medium,Suburban,Unknown,$12K,Unknown
University of Maine,"Orono, ME",4-year,Public,Medium,Rural,55%,$18K,1060-1280
Rochester University,"Rochester Hills, MI",4-year,Private,Small,Suburban,39%,$19K,880-1090
Lancaster Bible College,"Lancaster, PA",4-year,Private,Small,Suburban,67%,$21K,1010-1200
Northwest Missouri State University,"Maryville, MO",4-year,Public,Medium,Rural,53%,$14K,980-1160
Indiana University Southeast,"New Albany, IN",4-year,Public,Medium,Suburban,35%,$8K,1010-1170
Wartburg College,"Waverly, IA",4-year,Private,Small,Rural,67%,$24K,953-1223
Heartland Community College,"Normal, IL",2-year,Public,Small,Urban,Unknown,$12K,Unknown
Morgan State University,"Baltimore, MD",4-year,Public,Medium,Urban,46%,$14K,870-1060
Morehead State University,"Morehead, KY",4-year,Public,Medium,Rural,49%,$11K,1048-1233
East Tennessee State University,"Johnson City, TN",4-year,Public,Large,Rural,55%,$14K,980-1190
Colorado State University,"Fort Collins, CO",4-year,Public,Very Large,Suburban,67%,$17K,1060-1280
City University of New York: Queens College,"Flushing, NY",4-year,Public,Large,Urban,56%,$6K,1050-1170
West Virginia Wesleyan College,"Buckhannon, WV",4-year,Private,Small,Rural,53%,$20K,890-1130
University of North Carolina at Asheville,"Asheville, NC",4-year,Public,Small,Urban,59%,$15K,1180-1330
Jackson State University,"Jackson, MS",4-year,Public,Small,Urban,35%,$15K,830-990
Madonna University,"Livonia, MI",4-year,Private,Small,Suburban,49%,$18K,910-1140
SUNY Westchester Community College,"Valhalla, NY",2-year,Public,Medium,Suburban,Unknown,$11K,Unknown
Carlos Albizu University: San Juan,"San Juan, PR",4-year,Private,Unknown,Urban,71%,$10K,Unknown
Bob Jones University,"Greenville, SC",4-year,Private,Small,Suburban,69%,$19K,1010-1240
Indiana University Indianapolis,"Indianapolis, IN",4-year,Public,Very Large,Urban,56%,$11K,1050-1230
Western Illinois University,"Macomb, IL",4-year,Public,Medium,Rural,47%,$11K,860-1140
Grand Valley State University,"Allendale, MI",4-year,Public,Very Large,Suburban,66%,$17K,940-1180
Oral Roberts University,"Tulsa, OK",4-year,Private,Medium,Suburban,63%,$22K,990-1210
Sauk Valley Community College,"Dixon, IL",2-year,Public,Small,Rural,Unknown,$10K,Unknown
University of Utah,"Salt Lake City, UT",4-year,Public,Very Large,Urban,65%,$12K,1200-1370
Black Hills State University,"Spearfish, SD",4-year,Public,Small,Rural,44%,$17K,980-1180
Dakota State University,"Madison, SD",4-year,Public,Small,Rural,46%,$18K,1010-1340
Oregon Institute of Technology,"Klamath Falls, OR",4-year,Public,Medium,Rural,57%,$17K,1050-1265
Edgewood College,"Madison, WI",4-year,Private,Small,Urban,62%,$28K,660-1230
New College of Florida,"Sarasota, FL",4-year,Public,Small,Suburban,63%,$10K,1040-1240
Frostburg State University,"Frostburg, MD",4-year,Public,Small,Rural,49%,$16K,930-1120
Northern Arizona University,"Flagstaff, AZ",4-year,Public,Very Large,Suburban,59%,$17K,1040-1260
Pennsylvania Western University,"California, PA",4-year,Public,Medium,Rural,50%,$19K,950-1150
Vermont State University Castleton,"Castleton, VT",4-year,Public,Small,Rural,54%,$17K,990-1060
East Stroudsburg University of Pennsylvania,"East Stroudsburg, PA",4-year,Public,Medium,Rural,46%,$17K,950-1140
Freed-Hardeman University,"Henderson, TN",4-year,Private,Small,Rural,70%,$19K,1030-1230
Bowie State University,"Bowie, MD",4-year,Public,Medium,Suburban,40%,$14K,870-1010
Aquinas College,"Grand Rapids, MI",4-year,Private,Small,Suburban,61%,$19K,1000-1160
Rasmussen University North Dakota,"Fargo, ND",4-year,Private,Unknown,Suburban,100%,$17K,Unknown
University of Kansas,"Lawrence, KS",4-year,Public,Very Large,Suburban,67%,$19K,1090-1280
Auburn University at Montgomery,"Montgomery, AL",4-year,Public,Medium,Urban,36%,$13K,1048-1203
Stevens Institute of Business & Arts,"Saint Louis, MO",4-year,Private,Small,Urban,100%,$18K,Unknown
Oakland City University,"Oakland City, IN",4-year,Private,Small,Rural,48%,$17K,420-580
Florida Gulf Coast University,"Fort Myers, FL",4-year,Public,Large,Suburban,59%,$11K,1070-1200
Coker University,"Hartsville, SC",4-year,Private,Small,Rural,42%,$19K,940-1160
The Citadel,"Charleston, SC",4-year,Public,Small,Urban,70%,$22K,1100-1260
Holy Family University,"Philadelphia, PA",4-year,Private,Small,Suburban,58%,$12K,880-1170
University of Idaho,"Moscow, ID",4-year,Public,Medium,Rural,61%,$15K,950-1200
Illinois College,"Jacksonville, IL",4-year,Private,Small,Rural,67%,$16K,930-1175
Youngstown State University,"Youngstown, OH",4-year,Public,Medium,Urban,48%,$12K,940-1160
University of Nevada: Las Vegas,"Las Vegas, NV",4-year,Public,Very Large,Urban,47%,$13K,1010-1220
Francis Marion University,"Florence, SC",4-year,Public,Small,Rural,39%,$13K,900-1150
San Jose State University,"San Jose, CA",4-year,Public,Very Large,Urban,68%,$14K,1070-1320
University of South Dakota,"Vermillion, SD",4-year,Public,Medium,Rural,57%,$18K,1150-1290
Niagara University,"Niagara University, NY",4-year,Private,Small,Suburban,72%,$18K,1075-1220
University of Wisconsin-Stout,"Menomonie, WI",4-year,Public,Medium,Rural,52%,$16K,1000-1290
Kent State University: Tuscarawas,"New Philadelphia, OH",4-year,Public,Small,Suburban,4%,$11K,760-760
Massachusetts Maritime Academy,"Buzzards Bay, MA",4-year,Public,Small,Suburban,79%,$22K,1030-1180
California State University: East Bay,"Hayward, CA",4-year,Public,Large,Suburban,46%,$11K,910-1100
University of Wisconsin-Eau Claire,"Eau Claire, WI",4-year,Public,Medium,Urban,65%,$15K,1130-1260
Cedar Crest College,"Allentown, PA",4-year,Private,Small,Suburban,62%,$24K,980-1160
Southern Illinois University Carbondale,"Carbondale, IL",4-year,Public,Medium,Rural,49%,$17K,910-1180
Southwest Baptist University,"Bolivar, MO",4-year,Private,Small,Rural,42%,$19K,990-1160
Marian University,"Indianapolis, IN",4-year,Private,Small,Suburban,64%,$23K,970-1175
Chestnut Hill College,"Philadelphia, PA",4-year,Private,Small,Suburban,62%,$25K,890-1090
York College of Pennsylvania,"York, PA",4-year,Private,Medium,Suburban,64%,$21K,1030-1220
Ohio State University: Lima Campus,"Lima, OH",4-year,Public,Small,Urban,13%,$13K,1000-1170
Northern Kentucky University,"Newport, KY",4-year,Public,Medium,Suburban,52%,$7K,920-1130
Keene State College,"Keene, NH",4-year,Public,Small,Suburban,59%,$20K,950-1140
Kent State University: Stark,"North Canton, OH",4-year,Public,Small,Suburban,Unknown,$10K,Unknown
University of Montana,"Missoula, MT",4-year,Public,Medium,Suburban,47%,$16K,1110-1280
City University of New York: Borough of Manhattan Community College,"New York, NY",2-year,Public,Very Large,Urban,Unknown,$7K,Unknown
Texas A&M University-Corpus Christi,"Corpus Christi, TX",4-year,Public,Medium,Suburban,35%,$14K,970-1190
Fitchburg State University,"Fitchburg, MA",4-year,Public,Small,Suburban,56%,$16K,1063-1230
University of Houston-Downtown,"Houston, TX",4-year,Public,Large,Urban,31%,$15K,910-1060
University of North Florida,"Jacksonville, FL",4-year,Public,Large,Urban,63%,$11K,1010-1200
University of Nebraska - Lincoln,"Lincoln, NE",4-year,Public,Very Large,Urban,65%,$17K,1100-1310
Asbury University,"Wilmore, KY",4-year,Private,Small,Suburban,70%,$22K,1060-1290
Texas A&M International University,"Laredo, TX",4-year,Public,Medium,Urban,49%,$5K,910-1110
University of Wisconsin-La Crosse,"La Crosse, WI",4-year,Public,Large,Urban,70%,$13K,1180-1405
Southeast Missouri State University,"Cape Girardeau, MO",4-year,Public,Medium,Suburban,57%,$15K,978-1200
University Of North Alabama,"Florence, AL",4-year,Public,Medium,Urban,52%,$10K,1020-1198
Bridgewater College,"Bridgewater, VA",4-year,Private,Small,Suburban,58%,$19K,1010-1390
St. Francis College,"Brooklyn, NY",4-year,Private,Small,Urban,54%,$19K,890-1100
University of Pittsburgh at Bradford,"Bradford, PA",4-year,Public,Small,Rural,45%,$17K,1050-1250
University of South Carolina: Aiken,"Aiken, SC",4-year,Public,Small,Suburban,42%,$12K,975-1200
University of Jamestown,"Jamestown, ND",4-year,Private,Small,Rural,49%,$20K,920-1140
Portland State University,"Portland, OR",4-year,Public,Large,Urban,53%,$16K,1100-1290
Washington State University,"Pullman, WA",4-year,Public,Very Large,Rural,62%,$18K,1000-1250
University of Texas at Arlington,"Arlington, TX",4-year,Public,Very Large,Urban,53%,$14K,1000-1230
Virginia Commonwealth University,"Richmond, VA",4-year,Public,Very Large,Urban,65%,$21K,1040-1260
Yeshiva Sholom Shachna,"Brooklyn, NY",4-year,Private,Unknown,Urban,38%,$6K,Unknown
Graceland University,"Lamoni, IA",4-year,Private,Small,Rural,48%,$17K,890-1130
Carson-Newman University,"Jefferson City, TN",4-year,Private,Small,Rural,57%,$20K,960-1183
University of Nebraska Kearney,"Kearney, NE",4-year,Public,Medium,Rural,54%,$17K,1010-1110
Oregon State University,"Corvallis, OR",4-year,Public,Very Large,Suburban,70%,$21K,1040-1310
Salem State University,"Salem, MA",4-year,Public,Medium,Urban,55%,$19K,1038-1173
Indiana University of Pennsylvania,"Indiana, PA",4-year,Public,Medium,Rural,53%,$20K,940-1160
Truman State University,"Kirksville, MO",4-year,Public,Small,Rural,71%,$14K,1250-1370
Southern Oregon University,"Ashland, OR",4-year,Public,Small,Rural,46%,$18K,990-1200
Cleveland Institute of Art,"Cleveland, OH",4-year,Private,Small,Urban,73%,$33K,500-660
Carlow University,"Pittsburgh, PA",4-year,Private,Small,Urban,56%,$17K,1015-1185
Fairleigh Dickinson University,"Teaneck, NJ",4-year,Private,Medium,Suburban,49%,$16K,1010-1230
Prairie View A&M University,"Prairie View, TX",4-year,Public,Medium,Rural,41%,$13K,860-1020
Angelo State University,"San Angelo, TX",4-year,Public,Medium,Suburban,41%,$13K,920-1140
Cornerstone University,"Grand Rapids, MI",4-year,Private,Small,Suburban,63%,$21K,990-1222
Kent State University: Salem,"Salem, OH",4-year,Public,Small,Rural,3%,$10K,820-1420
Moody Bible Institute,"Chicago, IL",4-year,Private,Small,Urban,60%,$21K,1020-1150
Concordia University Chicago,"River Forest, IL",4-year,Private,Small,Suburban,47%,$19K,990-1160
Kent State University,"Kent, OH",4-year,Public,Very Large,Suburban,65%,$19K,1020-1230
George Mason University,"Fairfax, VA",4-year,Public,Very Large,Suburban,71%,$18K,1160-1330
University of Arkansas,"Fayetteville, AR",4-year,Public,Very Large,Urban,69%,$16K,1030-1210
University of Detroit Mercy,"Detroit, MI",4-year,Private,Small,Urban,73%,$18K,1020-1250
Herzing University: Brookfield,"Brookfield, WI",4-year,Unknown,Unknown,Suburban,100%,$18K,Unknown
Bluffton University,"Bluffton, OH",4-year,Private,Small,Rural,46%,$21K,940-1140
San Juan Bautista School Of Medicine,"Caguas, PR",4-year,Private,Unknown,Urban,50%,$9K,Unknown
Simpson College,"Indianola, IA",4-year,Private,Small,Suburban,67%,$23K,890-1250
Muskingum University,"New Concord, OH",4-year,Private,Small,Rural,60%,$20K,880-1100
University of the Cumberlands,"Williamsburg, KY",4-year,Private,Medium,Rural,42%,$14K,960-1160
Ohio Dominican University,"Columbus, OH",4-year,Private,Small,Urban,50%,$22K,920-1140
Saginaw Valley State University,"University Center, MI",4-year,Public,Medium,Suburban,50%,$12K,930-1150
University of Arizona,"Tucson, AZ",4-year,Public,Very Large,Urban,68%,$17K,1150-1350
College of Mount St. Vincent,"Bronx, NY",4-year,Private,Small,Suburban,57%,$17K,1025-1163
Wingate University,"Wingate, NC",4-year,Private,Small,Suburban,57%,$19K,970-1210
University Of Tennessee: Chattanooga,"Chattanooga, TN",4-year,Public,Large,Urban,52%,$14K,1020-1160
Montana State University,"Bozeman, MT",4-year,Public,Large,Rural,57%,$17K,1060-1260
Tennessee Technological University,"Cookeville, TN",4-year,Public,Medium,Rural,60%,$15K,1010-1230
Plymouth State University,"Plymouth, NH",4-year,Public,Medium,Rural,51%,$20K,950-1030
University Of Alabama At Birmingham,"Birmingham, AL",4-year,Public,Large,Urban,64%,$17K,1170-1363
Florida Atlantic University,"Boca Raton, FL",4-year,Public,Very Large,Suburban,62%,$10K,1040-1210
SUNY College of Agriculture and Technology at Cobleskill,"Cobleskill, NY",4-year,Public,Small,Rural,55%,$18K,960-1165
Texas A&M University-Commerce,"Commerce, TX",4-year,Public,Medium,Rural,43%,$13K,930-1170
Indiana University East,"Richmond, IN",4-year,Public,Small,Suburban,42%,$9K,990-1220
Western Governors University,"Salt Lake City, UT",4-year,Private,Very Large,Urban,49%,$9K,Unknown
Piedmont University,"Demorest, GA",4-year,Private,Small,Rural,48%,$19K,1038-1233
Indiana University Bloomington,"Bloomington, IN",4-year,Public,Very Large,Suburban,81%,$16K,1180-1390
Aurora University,"Aurora, IL",4-year,Private,Medium,Suburban,60%,$19K,900-1160
University of Southern Maine,"Portland, ME",4-year,Public,Medium,Urban,42%,$12K,995-1245
Bridgewater State University,"Bridgewater, MA",4-year,Public,Medium,Suburban,56%,$17K,1090-1260
