academics_degrees_offered,academics_majors,admissions_College Prep Courses,admissions_High School GPA,admissions_High School Rank,admissions_Recommendations,admissions_SAT/ACT Scores,college_name,costs_Average Aid Package,costs_Average Net Price,costs_Financial Aid Deadline,costs_Students Receiving Financial Aid,overview_description,scrape_success,scrape_timestamp,successful_sections,url
A,,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Recommended,California State University: San Bernardino,"$13,190","$8,805",June 30,83%,"California State University: San Bernardino is a large, 4-year, public technical college. This coed college is located in a suburban setting and is primarily a commuter campus. It offers certificate, bachelor's, master's, and doctoral degrees. This college has an acceptance rate of 93% and a graduation rate of 54%.",True,2025-04-15 03:01:29,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/california-state-university-san-bernardino
A,,Recommended,Required,Neither required nor recommended,Considered but not required,Required,Marshall University,"$15,274","$8,756",Not available,69%,"Marshall University is a medium, 4-year, public university. This coed college is located in a large town in an urban setting and is primarily a commuter campus. It offers certificate, associate, bachelor's, master's, and doctoral degrees. This college has an acceptance rate of 96% and a graduation rate of 50%.",True,2025-04-15 03:03:05,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/marshall-university
A,,Recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Not available,Bossier Parish Community College,Not available,"$10,116",Not available,Not available,"Bossier Parish Community College is a medium, 2-year, public college of art. This coed college is located in a suburban setting and is primarily a commuter campus. It offers certificate and associate degrees. This college has an acceptance rate of 98%.",True,2025-04-15 03:04:49,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/bossier-parish-community-college
A,,Required,Required,Neither required nor recommended,Neither required nor recommended,Recommended,California State University: San Marcos,"$12,048","$10,463",Not available,65%,"California State University: San Marcos is a large, 4-year, public school. This coed college is located in a suburban setting and is primarily a commuter campus. It offers bachelor's, master's, and certificate degrees. This college has an acceptance rate of 95% and a graduation rate of 57%.",True,2025-04-15 03:06:30,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/california-state-university-san-marcos
T,,Required,Neither required nor recommended,Neither required nor recommended,Required,Not available,Talmudical Seminary Of Bobov,Not available,"$2,468",Not available,Not available,"Talmudical Seminary Of Bobov is a 4-year, private school. This college is located in an urban setting. It offers bachelor's degrees. This college has an acceptance rate of 92% and a graduation rate of 100%.",True,2025-04-15 03:08:14,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/talmudical-seminary-of-bobov
A,,Recommended,Required,Neither required nor recommended,Considered but not required,Considered if submitted,Wright State University: Lake Campus,"$9,539","$11,585",February 15,53%,"Wright State University: Lake Campus is a small, 4-year, public school. This coed college is located in a rural setting and is primarily a commuter campus. It offers certificate, associate, and bachelor's degrees. This college has an acceptance rate of 100% and a graduation rate of 40%.",True,2025-04-15 03:10:10,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/wright-state-university-lake-campus
A,,Recommended,Required,Recommended,Neither required nor recommended,Recommended,Oklahoma Christian University,"$26,933","$20,237",November 1,58%,"Oklahoma Christian University is a small, 4-year, private university. This coed college is located in a city in a suburban setting and is primarily a residential campus. It offers bachelor's, certificate, master's, and associate degrees. This college has an acceptance rate of 69% and a graduation rate of 57%.",True,2025-04-15 03:11:57,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/oklahoma-christian-university
B,,Neither required nor recommended,Recommended,Neither required nor recommended,Required,Required,Baptist College of Florida,"$9,390","$10,430",June 28,47%,"Baptist College of Florida is a small, 4-year, private Bible college. This coed college is located in a rural community in a rural setting and is primarily a residential campus. It offers associate, bachelor's, master's, and certificate degrees. This college has an acceptance rate of 94% and a graduation rate of 56%.",True,2025-04-15 03:13:46,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/baptist-college-of-florida
A,,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Recommended,Valley City State University,"$15,094","$12,164",September 10,54%,"Valley City State University is a small, 4-year, public university. This coed college is located in a large town in a rural setting and is primarily a residential campus. It offers certificate, master's, associate, and bachelor's degrees. This college has an acceptance rate of 99% and a graduation rate of 47%.",True,2025-04-15 03:15:34,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/valley-city-state-university
A,,Recommended,Required,Considered but not required,Considered but not required,Considered if submitted,University of Pittsburgh at Greensburg,Not available,"$18,194",Not available,Not available,"University of Pittsburgh at Greensburg is a small, 4-year, public university. This coed college is located in a city in a suburban setting and is primarily a commuter campus. It offers certificate and bachelor's degrees. This college has an acceptance rate of 98% and a graduation rate of 39%.",True,2025-04-15 03:17:20,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/university-of-pittsburgh-at-greensburg
A,,Recommended,Required,Considered but not required,Considered but not required,Considered if submitted,University of North Carolina at Pembroke,"$11,081","$8,208",Not available,68%,"University of North Carolina at Pembroke is a medium, 4-year, public university. This coed college is located in a rural community in a rural setting and is primarily a commuter campus. It offers master's, certificate, bachelor's, and doctoral degrees. This college has an acceptance rate of 93% and a graduation rate of 45%.",True,2025-04-15 03:19:11,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/university-of-north-carolina-at-pembroke
A,,Recommended,Required,Recommended,Recommended,Considered if submitted,Christian Brothers University,Not available,"$18,612",Not available,Not available,"Christian Brothers University is a small, 4-year, private university. This coed college is located in a large city in an urban setting and is primarily a residential campus. It offers associate, bachelor's, and master's degrees. This college has an acceptance rate of 88% and a graduation rate of 60%.",True,2025-04-15 03:20:54,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/christian-brothers-university
A,,Required,Required,Neither required nor recommended,Neither required nor recommended,Considered if submitted,California State University: Sacramento,"$15,909","$11,596",March 2,70%,"California State University: Sacramento is a very large, 4-year, public university. This coed college is located in a large city in an urban setting and is primarily a commuter campus. It offers bachelor's, master's, and doctoral degrees. This college has an acceptance rate of 94% and a graduation rate of 54%.",True,2025-04-15 03:22:37,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/california-state-university-sacramento
A,,Required,Required,Neither required nor recommended,Considered but not required,Considered if submitted,University of North Carolina at Charlotte,"$11,617","$13,951",September 30,51%,"University of North Carolina at Charlotte is a very large, 4-year, public school. This coed college is located in a large city in an urban setting and is primarily a residential campus. It offers bachelor's, certificate, master's, and doctoral degrees. This college has an acceptance rate of 80% and a graduation rate of 70%.",True,2025-04-15 03:24:18,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/university-of-north-carolina-at-charlotte
,,,,,,,Saint Peter's University,,,,,,True,2025-04-15 03:26:00,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/saint-peter-s-university
